"file_path","symbol_or_line","current_value_or_assumption","dataset_dependent","pipeline_dependent_dataset_independent","safe_to_reuse","required_v2_action","earliest_pipeline_stage","risk_if_unchanged","classification"
"src/build_manifest.py","DEFAULT_DATASET_ROOT (line 32)","old external VieSpeaker root","yes","no","no","Retire the default for v2 and require the approved v2 root through configuration; never overwrite the v1 full manifest.","before full manifest v2","Scans the pilot dataset or overwrites historical manifest outputs.","Must change before full manifest v2"
"src/build_manifest.py","output_paths / MANIFEST_COLUMNS","writes manifests/full_manifest.csv with absolute audio_path","yes","no","partial","Create a separate full_manifest_v2 writer using portable dataset-root-relative paths and the approved v2 schema.","before full manifest v2","Could overwrite protected v1 evidence and persist local absolute paths.","Must change before full manifest v2"
"src/build_manifest.py","EXPECTED_SAMPLE_RATE / EXPECTED_CHANNELS / EXPECTED_NUM_FRAMES / EXPECTED_DURATION_SECONDS (lines 55-58)","16000 / 1 / 48000 / 3.0","yes","yes","partial","Treat observed audio properties as audit evidence and later approved manifest/config values rather than universal constants.","before full manifest v2","Future data variation could be falsely rejected or silently assumed.","Must change before full manifest v2"
"src/inspect_dataset.py","DEFAULT_DATASET_ROOT (line 26)","old external VieSpeaker root","yes","no","no","Keep historical inspector unchanged for v1 or add a separately versioned configurable v2 entry point.","before full manifest v2","Targets the wrong dataset.","Historical v1 artifact that must remain untouched"
"scripts/create_speaker_split.py","TRUSTED_GROUPS / QUARANTINE_GROUPS (lines 14-15)","train plus train_small trusted; test plus part quarantined","yes","no","no","Replace provenance-based eligibility with an approved full_manifest_v2 policy; provenance must not assign a split.","before approved split v2","Recreates pilot logic and violates v2 provenance governance.","Must change before approved split v2"
"scripts/create_speaker_split.py","CLI defaults (lines 319-323)","seed 2026; minimums 5/10; validation/test targets 100/100","yes","no","no","Derive approved split policy and targets from a versioned split-v2 config after human approval.","before approved split v2","Produces an unapproved allocation and may exclude valid v2 speakers.","Must change before approved split v2"
"scripts/create_speaker_split.py","write_outputs (lines 302-309)","speaker_split_v1 / split_config_v1 / quarantine_audit_v1 paths","yes","no","no","Use new v2 paths only after split approval; preserve every v1 artifact.","before approved split v2","Overwrites or confuses pilot and v2 identities.","Historical v1 artifact that must remain untouched"
"scripts/create_portable_manifests.py","EXPECTED_ROWS / EXPECTED_SPEAKERS (lines 23-24)","31998/8504/9198 rows and 488/100/100 speakers","yes","no","no","Derive row and speaker counts from the approved split-v2 artifact and validate against its identity.","before approved split v2","Rejects valid v2 data or falsely authenticates pilot-shaped inputs.","Must change before approved split v2"
"scripts/create_portable_manifests.py","TRUSTED_GROUPS / QUARANTINE_GROUPS (lines 13-14)","provenance-based pilot filtering","yes","no","no","Read only approved split-v2 assignments; retain provenance as metadata.","before approved split v2","Drops or assigns v2 files based on filename provenance.","Must change before approved split v2"
"scripts/create_portable_manifests.py","write_outputs (lines 337-341)","portable manifest v1 and speaker_to_label_v1 names","yes","no","no","Create distinct approved v2 manifest and mapping names only in the later authorized task.","before approved split v2","Overwrites or reuses pilot labels and identities.","Historical v1 artifact that must remain untouched"
"scripts/precompute_speechbrain_fbank.py","EXPECTED_ROWS (line 29)","31998/8504/9198","yes","no","no","Read expected split counts and manifest hashes from approved v2 cache configuration.","before Fbank cache v2","Rejects v2 or builds a cache with a false pilot identity.","Must change before Fbank cache v2"
"scripts/precompute_speechbrain_fbank.py","FRAMES / DIM / SAMPLES / SAMPLE_RATE (line 30)","301 / 80 / 48000 / 16000","partial","yes","partial","Keep 80 mel bins and 16 kHz when approved; derive waveform length and T from approved manifests/config and validate SpeechBrain output without transposition.","before Fbank cache v2","Hard-coded T or waveform length can invalidate otherwise correct v2 audio.","Must change before Fbank cache v2"
"scripts/precompute_speechbrain_fbank.py","index/config/report names (lines 328, 394-398, 449, 504-508)","feature_index_v1 / fbank_cache_config_v1 / fbank_cache_v1 report","yes","no","no","Write a distinct cache-v2 schema/path with approved manifest and config hashes.","before Fbank cache v2","Could overwrite v1 cache metadata or mix cache generations.","Must change before Fbank cache v2"
